Testcase,input,expected_output,actual_ouput,retrieval_context
1,What is the baggage allowance for economy class?,Economy class passengers are allowed one checked bag up to 23 kg and one cabin bag up to 7 kg.,Economy passengers can carry 1 checked bag (23 kg) and 1 cabin bag up to 7 kg.,Airline baggage policy states that economy class passengers can carry 1 checked bag up to 23 kg and 1 cabin bag up to 7 kg. Additional baggage may incur extra charges.
2,How can I check my flight status?,You can check your flight status on the airline website or mobile app using your flight number or booking reference.,Flight status can be checked on the airline website or app using the flight number or PNR.,Passengers can check real-time flight status via the airline website or mobile application by entering the flight number or PNR.
3,Can I change my flight date?,"Yes, you can change your flight date through the Manage Booking section, subject to fare rules and change fees.","Yes, flight dates can be modified from Manage Booking depending on fare rules and change charges.",Flight changes can be made through the Manage Booking portal depending on ticket fare rules. Change fees and fare differences may apply.
4,What should I do if my flight is cancelled?,"If your flight is cancelled, you can request a full refund or rebook another flight through customer support or the website.","If the airline cancels your flight, you can request a refund or choose a free rebooking option.","In case of flight cancellation by the airline, passengers are eligible for a refund or free rebooking on the next available flight."
5,How early should I arrive at the airport for an international flight?,Passengers should arrive at least 3 hours before departure for international flights.,It is recommended to reach the airport at least 3 hours before an international flight.,Airline check-in guidelines recommend arriving at the airport at least 3 hours before international departures.
6,Can I select my seat before the flight?,"Yes, you can select your preferred seat during booking or later through Manage Booking.","Yes, seat selection is available during booking or later via Manage Booking.",Seat selection is available during ticket booking or later through the Manage Booking feature on the airline website or app.
7,What documents are required for check-in?,You need a valid government-issued ID for domestic flights and a passport and visa for international flights.,"Domestic travel requires a government ID, while international flights require a passport and visa.","Check-in requires valid identification. Domestic flights require government ID, while international travel requires passport and visa."
8,How can I request special assistance at the airport?,You can request special assistance while booking your ticket or by contacting customer support at least 48 hours before departure.,Special assistance like wheelchair service can be requested during booking or 48 hours before departure.,Passengers requiring wheelchair or medical assistance should request it during booking or inform the airline at least 48 hours before departure.
9,What is the policy for carry-on baggage?,Passengers can carry one cabin bag up to 7 kg and one personal item such as a laptop bag or handbag.,Carry‑on allowance includes 1 cabin bag up to 7 kg plus one personal item like a laptop bag.,Carry-on policy allows one cabin bag weighing up to 7 kg along with one personal item like a laptop bag or purse.
10,How can I cancel my flight ticket?,You can cancel your ticket through the Manage Booking section or by contacting customer support.,Tickets can be cancelled through Manage Booking online or by contacting airline support.,Flight tickets can be cancelled online through Manage Booking or by contacting the airline customer support team.
11,Will I get a refund if I cancel my ticket?,Refund eligibility depends on the ticket fare rules and cancellation policy.,Refunds depend on fare rules and may include cancellation charges.,Refunds are processed based on the fare rules of the ticket. Some tickets are refundable while others may incur cancellation fees.
12,Can I add extra baggage after booking my flight?,"Yes, you can purchase additional baggage through the Manage Booking section before your flight.","Yes, extra baggage can be purchased online through Manage Booking before departure.",Passengers can pre-purchase additional baggage allowance online through the Manage Booking portal before departure.
13,How do I check in online?,You can check in online by visiting the airline website or app and entering your booking reference.,Online check-in can be completed on the airline website or app using the booking reference or PNR.,Online check-in opens 24–48 hours before departure and can be completed using the PNR or booking reference.
14,What happens if I miss my flight?,"If you miss your flight, you should contact customer support immediately to explore rebooking options.",Passengers who miss their flight should contact the airline to check rebooking possibilities.,Passengers who miss their flight should contact the airline as soon as possible. Rebooking may be available depending on ticket conditions.
15,Can I travel with pets on the airline?,"Yes, pets can travel either in the cabin or as checked baggage depending on airline policy and size restrictions.","Small pets may travel in cabin carriers, while larger pets may travel as checked baggage depending on policy.",Airline pet travel policy allows small pets in cabin carriers and larger pets as checked baggage subject to regulations.
16,How can I contact airline customer care?,"You can contact customer care via phone, email, or live chat on the airline website.","Customer care can be reached through phone, email, or website live chat.","Customer support is available through multiple channels including phone helpline, email support, and live chat."
17,What is the check-in deadline for domestic flights?,Domestic flight check-in usually closes 45 minutes before departure.,Check-in counters for domestic flights typically close 45 minutes before departure.,Airport counters for domestic flights typically close 45 minutes before the scheduled departure time.
18,Can I upgrade my seat to business class?,"Yes, you can upgrade your seat subject to availability through Manage Booking or at the airport.",Seat upgrades to business class may be available online or at the airport if seats are available.,"Seat upgrades to business class may be available online, during check-in, or at the airport depending on seat availability."
19,Do airlines provide meals during flights?,Meal availability depends on the flight duration and ticket type.,Meals may be complimentary or paid depending on route and fare type.,"Airlines provide complimentary or paid meals depending on route length, fare type, and service class."
20,How can I download my boarding pass?,You can download your boarding pass after completing online check-in via the airline website or mobile app.,"After online check-in, the boarding pass can be downloaded from the airline website or app.","After completing online check-in, passengers can download or receive a digital boarding pass through the airline website or mobile app."
